epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,471.594,0.59768,0.46571,1.37785,0.74833,0.99231,0.79881,0.63676,0.75344,0.67907,2.01263,0.0003764,0.0003764,0.0003764
84,476.643,0.61012,0.45156,1.39024,0.74672,0.99786,0.80522,0.64157,0.7683,0.6718,2.0353,0.0003566,0.0003566,0.0003566
85,482.177,0.60057,0.43215,1.37706,0.74703,0.99951,0.80753,0.64618,0.75291,0.66727,2.0424,0.0003368,0.0003368,0.0003368
86,487.197,0.60575,0.44924,1.39677,0.74685,1,0.80312,0.63686,0.75251,0.67979,2.06899,0.000317,0.000317,0.000317
87,492.446,0.5861,0.44785,1.36945,0.74685,1,0.80312,0.63686,0.75251,0.67979,2.06899,0.0002972,0.0002972,0.0002972
88,498.112,0.57582,0.42941,1.34281,0.74892,1,0.79973,0.63733,0.75812,0.69711,2.08132,0.0002774,0.0002774,0.0002774
89,503.098,0.56966,0.41826,1.31565,0.75004,1,0.79528,0.63714,0.75682,0.70457,2.05274,0.0002576,0.0002576,0.0002576
90,508.62,0.60125,0.44357,1.36718,0.75042,1,0.78719,0.63713,0.74743,0.70917,2.02724,0.0002378,0.0002378,0.0002378
91,516.005,0.522,0.45,1.38704,0.75042,1,0.78719,0.63713,0.74743,0.70917,2.02724,0.000218,0.000218,0.000218
92,524.227,0.53792,0.45231,1.3374,0.75036,1,0.7858,0.63351,0.75251,0.70903,2.02071,0.0001982,0.0001982,0.0001982
93,529.383,0.53598,0.43224,1.37028,0.74701,1,0.77877,0.6255,0.75598,0.70584,2.01717,0.0001784,0.0001784,0.0001784
94,534.539,0.51273,0.42065,1.34477,0.74279,1,0.7922,0.63043,0.75658,0.70819,2.01499,0.0001586,0.0001586,0.0001586
95,539.761,0.51704,0.4289,1.34131,0.74279,1,0.7922,0.63043,0.75658,0.70819,2.01499,0.0001388,0.0001388,0.0001388
96,544.985,0.51261,0.42786,1.33245,0.74208,0.99593,0.79547,0.63442,0.75638,0.71709,2.0229,0.000119,0.000119,0.000119
97,550.216,0.50413,0.41606,1.32755,0.74469,1,0.79711,0.6401,0.75321,0.71178,2.02136,9.92e-05,9.92e-05,9.92e-05
98,555.129,0.50807,0.42357,1.32397,0.74466,1,0.79937,0.63799,0.75229,0.70071,2.03546,7.94e-05,7.94e-05,7.94e-05
99,559.97,0.50428,0.41086,1.30418,0.74466,1,0.79937,0.63799,0.75229,0.70071,2.03546,5.96e-05,5.96e-05,5.96e-05
100,565.163,0.51411,0.42951,1.28452,0.74215,1,0.79891,0.6383,0.75256,0.6964,2.04529,3.98e-05,3.98e-05,3.98e-05
